Шаг,NFT lvl1,NFT lvl2,NFT lvl3,Активных NFT lvl1,Активных NFT lvl2,Активных NFT lvl3,Встречи,REWARD_POOL токены,Новые NFT,Стоимость новых NFT,Цена токена
1,2734,257,20,2601,243,20,79,697642000.00,11,1100.00,0.000167
2,2744,257,20,2479,241,20,72,696364000.00,10,1000.00,0.000167
3,2761,257,20,2518,245,14,72,689218000.00,17,1700.00,0.000164
4,2779,257,20,2546,229,14,79,686621661.77,18,1800.00,0.000163
5,2790,257,20,2561,227,20,65,684630253.65,11,1100.00,0.000155
6,2800,259,20,2587,239,20,63,683123520.60,12,3000.00,0.000153
7,2808,262,20,2590,245,20,66,681512942.49,11,3800.00,0.000151
8,2819,263,20,2600,241,20,66,679364648.02,12,2100.00,0.000149
9,2831,263,20,2618,244,18,63,675810109.13,12,1200.00,0.000148
10,2846,264,20,2593,249,16,87,671631028.09,16,2500.00,0.000146
11,2861,265,20,2583,245,16,80,667354255.69,16,2500.00,0.000143
12,2872,266,20,2624,248,18,68,665609610.87,12,2100.00,0.000139
13,2883,267,20,2663,253,20,61,663970652.91,12,2100.00,0.000136
14,2893,268,20,2660,250,20,76,661536282.70,11,2000.00,0.000134
15,2907,269,20,2679,241,20,65,658807949.55,15,2400.00,0.000133
16,2916,270,20,2739,248,18,48,655307562.17,10,1900.00,0.000131
17,2929,270,20,2727,255,18,73,652901850.72,13,1300.00,0.000129
18,2944,271,20,2722,252,20,62,650992693.67,16,2500.00,0.000126
19,2966,273,20,2733,254,16,86,643958971.37,24,4200.00,0.000125
20,2980,273,20,2756,253,14,58,639429031.46,14,1400.00,0.000123
21,2993,274,20,2784,255,16,72,634727316.01,14,2300.00,0.000118
22,3002,276,20,2774,259,18,64,632699072.58,11,2900.00,0.000115
23,3017,276,20,2773,266,18,77,628278684.19,15,1500.00,0.000112
24,3030,278,20,2802,254,18,65,624542808.45,15,3300.00,0.000111
25,3043,279,21,2841,246,20,68,621898573.01,15,12300.00,0.000109
26,3064,279,22,2850,254,20,71,618803414.11,22,12100.00,0.000106
27,3080,280,22,2871,257,21,65,616435149.98,17,2600.00,0.000105
28,3098,281,22,2882,259,20,73,610516577.45,19,2800.00,0.000103
29,3112,282,22,2888,262,20,67,608220666.23,15,2400.00,0.000102
30,3119,285,22,2904,263,22,64,605042831.15,10,3700.00,0.000099
31,3126,285,23,2918,266,22,59,602949407.91,8,10700.00,0.000098
32,3152,287,23,2817,265,22,138,597362333.82,28,4600.00,0.000096
33,3182,287,23,2696,247,23,154,590405127.85,30,3000.00,0.000095
34,3208,288,23,2758,247,21,121,581765953.19,27,3600.00,0.000093
35,3239,292,23,2838,249,21,133,575670350.60,35,7100.00,0.000089
